Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
UPK3BP1,0.6902,0.076,0.0682,0.193,0.3563,0.2764,0.5726,0.8172,0.7139,0.5807
PMS2P11,0.6687,0.8244,0.2191,0.4644,0.942,0.6088,0.5592,0.4656,0.5042,0.2023
PMS2P9,0.0694,0.8247,0.7701,0.169,0.0943,0.1948,0.003,0.5578,0.3009,0.1149
SPDYE18,0.1727,0.4457,0.8673,0.9525,0.6883,0.3864,0.1067,0.66,0.3738,0.8739
AC007000.2,0.0995,0.3783,0.1715,0.0382,0.6217,0.9052,0.7387,0.7652,0.5234,0.9992
FAM185BP,0.5584,0.3931,0.8998,0.9111,0.874,0.6264,0.5837,0.4835,0.423,0.9446
AC007000.1,0.4529,0.1599,0.6308,0.321,0.0481,0.2872,0.1678,0.5399,0.8494,0.7037
CCDC146,0.0313,0.6072,0.0031,0.4701,0.219,0.5349,0.026,0.0633,0.2959,0.0012
FGL2,0.2037,0.051,0.8656,0.3874,0.028,0.3343,0.1048,0.2903,0.2183,0.7861
GSAP,0.1565,0.7536,0.2097,0.6397,0.0879,0.8195,0.0981,0.088,0.8748,0.1111
AC004921.1,0.5299,0.5541,0.5329,0.0875,0.0001,0.0001,0.1001,0.0001,0.2373,0.0979
GCNT1P5,0.0001,0.1034,0.0001,0.0985,0.4587,0.0001,0.4581,0.4539,1.0,0.4626
PTPN12,0.0197,0.8494,0.048,0.2755,0.0379,0.479,0.0064,0.0371,0.0518,0.0031
APTR,0.5395,0.1622,0.8691,0.377,0.5025,0.6058,0.8313,0.276,0.5905,0.473
RSBN1L,0.7043,0.4968,0.9482,0.4054,0.4241,0.7725,0.3472,0.4431,0.8971,0.3971
TMEM60,0.7946,0.597,0.4845,0.3343,0.4542,0.6881,0.2063,0.284,0.6611,0.1122
PHTF2,0.3081,0.7491,0.3557,0.358,0.22,0.9107,0.0675,0.2307,0.4286,0.0725
AC004990.1,0.0001,0.1011,0.0001,0.0109,0.4578,0.0001,0.1939,0.4628,0.5685,0.1931
MAGI2,0.532,0.8827,0.9104,0.1625,0.6637,0.7179,0.7552,0.6504,0.034,0.1449
AC006355.2,0.1866,0.0001,0.3321,0.097,1.0,1.0,1.0,1.0,1.0,1.0
GNAI1,0.1808,0.1842,0.4007,0.54,0.7855,0.2648,0.7274,0.2638,0.7382,0.8673
CD36,0.6001,0.5562,0.8556,0.8583,1.0,0.959,1.0,0.1901,0.1583,0.9946
SEMA3C,0.7214,0.9716,0.9503,0.9484,0.8418,0.7129,0.7129,0.4593,0.472,0.0001
AC008163.1,0.0121,0.0001,0.0001,0.3368,0.4576,0.2307,0.4644,0.0001,1.0,0.0727
HGF,0.0071,0.4516,0.3681,0.2019,0.0636,0.3203,0.9726,0.2758,0.6433,0.727
CACNA2D1,0.563,0.2894,0.2215,0.9919,1.0,0.7118,0.2743,0.0001,0.0541,0.0727
AC006145.1,0.0141,0.0001,0.0001,0.3298,0.1514,0.1218,0.5385,0.0001,1.0,0.2861
PCLO,0.9243,0.6209,0.9129,0.0838,0.6947,0.9143,0.3766,0.2655,0.1222,0.2444
SEMA3E,0.9629,0.7775,0.3307,0.7066,1.0,0.7225,0.5283,0.0001,0.1863,0.1913
SEMA3A,0.988,0.357,0.9619,0.6179,0.1319,0.9392,0.2824,0.1072,0.1528,0.403
AC074183.2,0.9548,0.9723,0.9533,0.7248,0.4688,0.0001,0.0673,0.4566,0.5442,0.0715
AC074183.1,0.951,0.9757,0.9561,0.7247,0.4609,0.0001,0.0727,0.4642,0.5411,0.0769
HNRNPA1P8,0.6826,0.5622,0.8607,0.411,1.0,0.8635,0.5714,1.0,0.2679,0.6616
SEMA3D,0.159,1.0,0.9937,0.4281,0.73,0.85,0.873,0.3277,0.2798,0.8784
GRM3,0.7342,0.1916,0.9457,0.4044,0.5938,0.7925,0.6573,0.486,0.7351,0.4731
AC005009.2,0.8715,0.1596,0.1896,1.0,0.7041,0.8539,1.0,1.0,0.4116,0.3894
KIAA1324L,0.732,0.5873,0.2814,0.8815,0.7641,0.186,0.4983,0.1445,0.3099,0.4046
AC004023.1,0.5317,0.5515,0.5682,1.0,0.0001,0.2185,0.0728,0.3114,1.0,0.9873
AC005076.1,0.4512,0.237,0.7048,0.1995,0.227,0.7187,0.2152,0.2425,0.8552,0.2643
DMTF1,0.3177,0.9749,0.1979,0.7861,0.276,0.7485,0.1423,0.2102,0.645,0.0962
RF02271,0.3295,0.097,0.0226,0.0993,0.5071,0.3664,0.7324,0.3449,0.5428,0.5493
TMEM243,0.4864,0.4653,0.8439,0.32,0.9725,0.5952,0.7507,0.5167,0.7342,0.3285
TP53TG1,0.0436,0.0576,0.4379,0.4621,0.8842,0.1211,0.3544,0.173,0.4239,0.3538
RF02195,0.0503,0.018,0.6606,0.5871,0.4626,0.1701,0.1586,0.0998,0.0636,0.6677
RF02196,0.3638,0.2209,0.3657,0.8954,0.7791,0.3081,0.4928,0.3176,0.4108,0.5696
CROT,0.9699,0.4313,0.1292,0.1569,0.3597,0.1501,0.1138,0.0158,0.3962,0.0021
ABCB4,0.465,0.6655,0.6258,0.0766,0.7733,0.2957,0.2998,0.4346,0.1513,0.0448
ABCB1,0.7836,0.6888,0.362,0.5447,0.8848,0.4607,0.7179,0.521,0.8602,0.5273
HNRNPA1P9,0.5369,0.5624,0.7903,0.3981,0.4523,0.5086,0.8779,1.0,0.2244,0.7235
RUNDC3B,0.0312,0.732,0.688,0.4429,0.1019,0.5427,0.0041,0.9434,0.5019,0.4553
SLC25A40,0.0581,0.9212,0.0853,0.1137,0.1123,0.9899,0.0067,0.1824,0.0603,0.0062
DBF4,0.3628,0.7694,0.4893,0.2778,0.297,0.7837,0.0851,0.29,0.242,0.045
ADAM22,0.2919,0.74,0.0585,0.8719,0.3717,0.4107,0.1825,0.0669,0.4893,0.0352
SRI,0.4146,0.4256,0.844,0.0218,0.9996,0.6966,0.0707,0.7383,0.0494,0.0741
AC003991.2,0.9358,0.7241,0.6861,0.2716,0.6621,0.8724,0.3511,0.8975,0.4359,0.4869
AC003991.1,0.37,0.2331,0.4688,0.8978,0.3619,0.7873,0.7573,0.4128,0.5477,0.8078
STEAP4,0.9001,0.0703,0.2598,0.0874,0.5628,0.4779,0.2993,0.9863,0.5099,0.486
KPNA2P2,0.9542,0.9497,0.3054,0.1663,0.0001,0.2856,0.0733,1.0,1.0,0.6881
EEF1A1P28,0.5298,0.284,0.5315,0.5663,0.0001,0.0001,0.0761,0.0001,1.0,0.0707
STEAP1,0.6459,0.1449,0.6382,0.1105,0.2462,0.984,0.1591,0.089,0.9246,0.0636
STEAP2,0.4179,0.4791,0.7854,0.2741,0.3031,0.6432,0.0779,0.1317,0.6738,0.047
CFAP69,0.2837,0.2281,0.7569,0.7465,0.1192,0.6052,0.3668,0.1418,0.1404,0.4406
FAM237B,0.6866,0.2895,0.7934,0.5684,1.0,0.5704,1.0,1.0,1.0,0.8675
GTPBP10,0.3793,0.3637,0.5415,0.1003,0.1042,0.775,0.0179,0.1488,0.2729,0.024
AC002064.3,1.0,0.9494,0.9504,0.2308,1.0,1.0,1.0,0.0001,0.9257,0.9324
CLDN12,0.6801,0.4776,0.559,0.048,0.2273,0.8477,0.0093,0.1656,0.0367,0.005
CDK14,0.0276,0.5877,0.2109,0.8328,0.1513,0.3178,0.0948,0.5072,0.7142,0.3215
AC002456.1,0.3585,0.1698,0.8357,0.8799,0.0991,0.3296,0.2765,0.2015,0.3059,0.7183
TVP23CP1,0.528,0.944,0.6401,0.1603,0.7175,0.4907,0.5335,0.6796,0.3378,0.1915
FZD1,0.0556,0.4983,0.723,0.991,0.1226,0.2514,0.1835,0.4224,0.5749,0.7665
AC079760.2,0.5319,0.5616,0.7847,0.2039,0.2529,0.2746,0.6303,1.0,0.17,0.4441
MTERF1,0.4793,0.6378,0.44,0.2524,0.2096,0.9212,0.0481,0.2359,0.2994,0.0391
AKAP9,0.3262,0.5578,0.3144,0.3669,0.7094,0.1949,0.3239,0.305,0.5212,0.8595
CYP51A1,0.6348,0.359,0.5048,0.278,0.1599,0.8357,0.1224,0.1316,0.8509,0.1014
CYP51A1-AS1,0.0784,0.6092,0.2461,0.1037,0.0968,0.9346,0.8485,0.3534,0.2264,0.6447
LRRD1,0.9952,0.9295,1.0,0.0465,0.6871,1.0,0.1221,0.7759,0.358,0.1288
KRIT1,0.3787,0.9821,0.0813,0.2241,0.2913,0.3488,0.0386,0.1175,0.0911,0.0085
AC000120.1,0.3329,0.7304,0.9008,0.1004,0.5859,0.4988,0.2801,0.8655,0.2228,0.2001
ANKIB1,0.0172,0.9959,0.0076,0.433,0.0322,0.7143,0.015,0.0128,0.3247,0.0049
TMBIM7P,0.8089,0.7966,0.8142,0.9146,0.9038,0.855,0.8823,0.7983,0.8128,0.8737
GATAD1,0.8144,0.5699,0.3013,0.8613,0.4347,0.4824,0.989,0.1287,0.6178,0.544
AC007566.1,0.7509,0.6351,0.3277,0.3383,0.2545,0.5181,0.1207,0.1533,0.5108,0.0606
ERVW-1,0.4069,0.3275,0.1797,0.3358,0.2474,0.7693,0.8761,0.325,0.2348,0.7497
PEX1,0.0524,0.5981,0.1641,0.1009,0.1396,0.7743,0.003,0.3948,0.0165,0.0124
RBM48,0.2587,0.9008,0.1379,0.4233,0.229,0.7222,0.0842,0.1282,0.3641,0.0335
FAM133B,0.6708,0.4807,0.9962,0.2688,0.8537,0.7499,0.4641,0.5635,0.4426,0.6173
CDK6,0.5098,0.5268,0.4728,0.1339,0.1598,0.9214,0.0253,0.2261,0.1868,0.0331
RNU6-10P,0.8681,0.6043,0.878,0.047,1.0,0.6751,0.0297,0.4622,0.0281,0.2696
AC002454.1,0.5402,1.0,0.5586,0.8695,0.8534,0.4922,0.5193,0.7751,0.7566,0.7899
SAMD9,0.1112,0.4938,0.0686,0.3579,0.0456,0.8732,0.0348,0.0112,0.7796,0.0139
SAMD9L,0.7648,0.5665,0.2067,0.3354,0.2333,0.2648,0.1855,0.014,0.6783,0.0304
HEPACAM2,0.1289,0.9723,0.7163,0.1285,0.6728,0.157,0.8538,0.4647,0.7678,0.2206
VPS50,0.704,0.6401,0.9524,0.0425,0.881,0.5902,0.048,0.5141,0.0762,0.016
CALCR,0.7949,0.5991,0.5814,0.1691,1.0,0.8622,0.244,1.0,0.4487,0.6065
AC002075.2,0.7655,0.7742,0.769,0.9542,0.0001,0.0001,0.2815,0.0001,1.0,0.2862
TFPI2,0.8855,0.6557,0.0054,0.2656,0.5674,0.0023,0.1602,0.0052,0.3848,0.0018
GNG11,0.4091,0.3155,0.1712,0.3578,0.6914,0.0688,0.8759,0.0663,0.8927,0.0653
AC006378.2,0.7601,0.9764,0.4225,0.4079,0.7514,0.304,0.6823,0.3982,0.3461,0.0794
BET1,0.7369,0.6295,0.5619,0.1095,0.3968,0.8058,0.0483,0.2912,0.1989,0.0419
AC006378.1,0.0677,0.5562,0.0056,0.7959,0.2378,0.3825,0.3185,0.0523,0.802,0.0476
AC003092.1,0.1093,0.3369,0.6014,0.971,0.1042,0.5325,0.332,0.1627,0.3759,0.6384
AC003092.2,0.3071,0.953,0.0273,0.7123,1.0,0.4633,0.7092,0.1058,0.0001,0.0807
COL1A2,0.7151,0.9514,0.71,0.0353,1.0,0.7123,0.3974,0.0001,0.1917,0.1743
CASD1,0.0505,0.529,0.1867,0.3734,0.0372,0.5741,0.0253,0.0863,0.7809,0.0516
SGCE,0.4879,0.4077,0.3648,0.2287,0.7684,0.0772,0.5218,0.0755,0.6669,0.051
PEG10,0.0787,0.8794,0.273,0.785,0.321,0.6132,0.1114,0.4142,0.5969,0.1929
PPP1R9A,0.2116,0.6052,0.5431,0.4739,0.0375,0.2155,0.0158,0.7667,0.3065,0.1873
PON1,0.9727,0.9524,0.7187,0.973,0.26,0.064,0.859,0.0001,0.2455,0.1006
PON3,0.8402,0.7803,0.9462,0.7191,0.7759,0.8302,1.0,0.729,1.0,0.707
PON2,0.7821,0.2856,0.5108,0.352,0.1274,0.4096,0.2376,0.0315,0.641,0.0393
AC005021.1,1.0,0.4405,0.7821,0.1345,0.0686,0.5797,0.0199,0.1262,0.4611,0.0621
AC004012.1,0.5254,0.5574,0.5371,0.6723,0.0001,0.0001,0.286,0.0001,1.0,0.2815
ASB4,0.9535,0.9491,0.7798,0.1619,0.0001,0.288,0.0726,1.0,1.0,0.8587
AC002451.2,0.3044,0.9531,0.9517,0.3015,1.0,1.0,0.6944,0.0001,1.0,0.2886
PDK4,0.7238,0.1963,0.0409,0.5007,0.5353,0.2496,0.7202,0.4372,0.7799,0.1927
SLC25A13,0.3147,0.5854,0.1465,0.2236,0.1098,0.6463,0.0321,0.0659,0.2641,0.0133
AC096775.1,0.0221,0.166,0.0467,0.3497,0.3833,0.34,0.0536,0.676,0.2151,0.106
SEM1,0.0062,0.3129,0.2904,0.0271,0.0745,0.0514,0.0912,0.9713,0.2651,0.2185
DLX6-AS1,0.0001,0.0001,0.0999,0.0143,0.0001,0.4691,0.0451,0.3363,0.1322,0.5145
DLX6,0.8794,0.6218,0.6344,1.0,0.2586,0.0667,0.7695,0.0001,0.3308,0.46
DLX5,0.0486,0.1988,0.0001,0.0001,0.8807,0.3545,0.351,0.4641,0.4671,0.0001
SDHAF3,0.1283,0.4833,0.2952,0.4584,0.5509,0.5926,0.1046,0.8921,0.2853,0.1009
HMGB3P21,0.0271,0.0332,0.0232,0.0702,0.8467,1.0,0.8586,0.9951,0.8664,0.9829
TAC1,0.0965,0.5587,0.6022,0.3533,0.7005,0.2158,0.1771,0.5905,0.4194,1.0
ASNS,0.1087,0.8544,0.2885,0.1786,0.0862,0.7304,0.6,0.396,0.1366,0.9581
AC005326.1,0.2086,0.994,0.0275,0.993,0.3959,0.5075,0.2643,0.1216,1.0,0.0763
SNRPCP9,0.5334,0.5585,0.5349,0.7996,0.0001,0.0001,0.2928,0.0001,1.0,0.2877
RPS3AP29,0.544,0.6472,0.719,0.1049,0.5781,0.8301,0.5656,0.3372,0.1975,0.352
AC079781.1,0.55,0.849,1.0,1.0,0.7519,0.5194,0.5013,0.6375,0.6384,1.0
AC079781.4,0.9942,0.5882,0.1484,0.0237,0.5586,0.1768,0.1575,0.5099,0.1361,0.0549
AC079781.3,0.1394,0.5772,0.8283,0.0181,0.785,0.2422,0.1795,0.8371,0.1517,0.1112
OR7E7P,0.3812,0.5902,0.97,0.4355,0.0526,0.3913,0.0557,0.5542,0.752,0.3972
OR7E38P,0.0638,0.9097,0.4374,0.3364,0.211,0.4697,0.346,0.6443,0.5508,0.9543
AC004967.1,0.4625,0.9658,0.5875,0.7971,0.6145,0.9388,0.7301,0.7381,0.8712,0.8151
LMTK2,0.0075,0.9408,0.092,0.886,0.0158,0.7096,0.0225,0.2174,0.7655,0.223
BHLHA15,0.2368,0.491,0.9208,0.6083,0.259,0.5857,0.2746,0.3654,0.8125,0.5524
TECPR1,0.5946,0.3421,0.6448,0.6728,0.5998,0.9573,0.5209,0.6461,0.3492,0.5428
BRI3,0.5856,0.2819,0.6703,0.3834,0.4671,0.4088,0.7208,0.1821,0.7077,0.274
BAIAP2L1,0.8239,0.2948,0.898,0.7835,0.0851,0.6148,0.4367,0.1596,0.1764,0.7984
AC093799.1,0.9571,0.3816,0.6391,0.9849,0.3746,0.7649,1.0,0.7348,0.4014,0.7703
RPS3AP26,0.55,0.9226,0.1753,0.7253,0.6433,0.629,0.8435,0.1938,0.6815,0.3907
NPTX2,0.4552,0.8505,0.4447,0.2328,0.5632,0.3773,0.3887,0.6407,0.4397,0.9868
TMEM130,0.5904,0.4702,0.5373,0.801,0.8278,0.3116,0.6737,0.1602,0.6938,0.5135
TRRAP,0.0157,0.4022,0.0327,0.913,0.1974,0.9759,0.0389,0.3138,0.4041,0.0841
AC004893.1,0.498,0.1164,0.0293,0.0534,0.0688,0.0544,0.0256,0.5404,0.7786,0.8916
SMURF1,0.16,0.6844,0.1022,0.5907,0.3402,0.7248,0.4865,0.4003,0.8953,0.428
AC004893.2,0.9389,0.8861,0.5684,0.8197,0.9804,0.6579,0.9847,0.5662,0.6188,0.5248
KPNA7,0.9562,0.9497,1.0,0.5012,0.0001,0.2807,0.4673,1.0,0.3364,0.6616
MYH16,0.4318,0.5365,0.9769,0.1024,0.9998,0.6426,0.7075,0.7819,0.698,0.2928
AC004834.1,0.3314,0.9474,0.5655,0.9074,0.2651,0.1662,0.0828,0.587,0.827,0.733
ARPC1A,0.2833,0.3506,0.3468,0.3952,0.8974,0.1277,0.824,0.1644,0.9336,0.1666
ARPC1B,0.5531,0.5117,0.7459,0.4673,0.949,0.4868,0.9244,0.4787,0.9653,0.459
PDAP1,0.9147,0.6634,0.5399,0.8638,0.7858,0.6041,0.8376,0.4744,0.6719,0.7293
BUD31,0.0193,0.2329,0.5738,0.0465,0.1306,0.1166,0.6397,0.5646,0.3563,0.2027
PTCD1,0.3891,0.3939,0.9254,0.6995,0.9557,0.4669,0.6733,0.4837,0.6708,0.718
CPSF4,0.4556,0.9714,0.5535,0.7005,0.5207,0.8482,0.7061,0.6022,0.744,0.8538
AC073063.1,0.1698,0.6667,0.4876,0.1797,0.1781,0.1929,0.0017,0.8549,0.5882,0.8014
ATP5MF,0.0018,0.1962,0.5459,0.1253,0.0407,0.1036,0.0906,0.6683,0.8471,0.5576
ZNF789,0.5087,0.4028,0.0464,0.6997,0.8048,0.2608,0.7811,0.3627,0.5931,0.2159
ZNF394,0.3642,0.5199,0.5242,0.7866,0.7869,0.2073,0.3968,0.2879,0.5167,0.7769
ZKSCAN5,0.5678,0.6482,0.156,0.2282,0.2252,0.4137,0.071,0.0872,0.3023,0.0253
FAM200A,0.4875,0.5812,0.6243,0.1111,0.2865,0.8398,0.0681,0.3381,0.1444,0.0468
ZNF655,0.0852,0.8326,0.0156,0.522,0.0579,0.4539,0.0295,0.0212,0.5303,0.0096
TMEM225B,0.7878,0.446,0.4359,0.501,0.6189,0.3889,0.455,0.2168,0.2768,0.9682
ZSCAN25,0.0626,0.8177,0.0916,0.618,0.1543,0.9607,0.0679,0.2994,0.4727,0.1308
AC005020.1,0.8454,0.3593,0.3484,0.7445,0.2517,0.4296,0.997,0.9808,1.0,0.7692
CYP3A5,0.1412,0.5801,0.3137,0.5132,0.4163,0.6607,0.1061,0.7031,0.2506,0.1801
CYP3A7,0.5004,0.5439,0.816,0.8561,0.997,0.71,0.7251,0.8569,0.6899,1.0
CYP3A4,0.1983,0.1048,0.2459,0.3767,0.3584,0.681,0.481,0.0248,0.1801,0.4875
AC069294.1,0.6316,0.4977,0.8544,0.6319,0.1099,0.4258,0.0001,0.6885,0.1924,1.0
CYP3A43,0.7983,0.9499,0.5171,0.4848,1.0,0.6725,0.7948,0.4456,0.257,1.0
OR2AE1,0.4242,1.0,0.9067,0.4807,0.1664,0.5604,0.6998,1.0,0.4521,0.4638
TRIM4,0.7334,0.5338,0.6577,0.2664,0.1606,0.8887,0.0957,0.1899,0.5449,0.0997
GJC3,0.9535,0.1451,0.209,0.3187,0.2299,0.3218,0.4403,0.8367,0.7362,0.8087
AC004522.2,0.9708,0.5214,0.5235,0.4943,1.0,0.7044,0.5366,0.0001,1.0,0.0731
AZGP1,0.7253,0.4734,0.2456,0.6615,0.7327,0.6237,0.9012,0.3826,0.3988,0.2888
AZGP1P1,1.0,0.7097,0.7082,1.0,1.0,1.0,1.0,0.0001,1.0,0.4292
ZKSCAN1,0.1838,0.808,0.0963,0.7551,0.1492,0.7603,0.1681,0.1057,0.9537,0.1155
ZSCAN21,0.9752,0.3057,0.9926,0.4676,0.3606,0.9829,0.554,0.2825,0.8797,0.4988
ZNF3,0.3569,0.8387,0.3542,0.7125,0.2682,0.9377,0.2544,0.3497,0.8578,0.284
COPS6,0.0569,0.1744,0.4824,0.0806,0.6196,0.3591,0.8388,0.6348,0.7414,0.4208
MCM7,0.954,0.8748,0.9968,0.5102,0.963,0.957,0.6767,0.9138,0.5552,0.6471
MIR93,0.5391,0.9982,0.5378,0.8675,0.4576,0.0993,0.2881,0.7716,0.8076,0.2743
AP4M1,0.693,0.2245,0.8009,0.8374,0.4525,0.912,0.8716,0.4091,0.3761,0.9612
TAF6,0.7633,0.5764,0.7993,0.628,0.4466,0.9756,0.4907,0.5292,0.9337,0.5397
AC073842.2,0.9966,0.9338,0.6341,0.1002,1.0,0.8629,0.1274,0.8846,0.2313,0.6173
CNPY4,0.0593,0.1722,0.7006,0.3197,0.5815,0.0954,0.2703,0.2246,0.5892,0.333
MBLAC1,0.9285,0.7619,0.8628,0.5777,0.8419,0.8633,0.5942,0.69,0.4776,0.7164
AC073842.1,0.5319,0.413,0.8626,0.5815,0.121,0.2805,0.2186,0.5363,0.7646,0.9869
RPL7P60,0.7801,0.782,0.7695,0.435,0.9873,0.6354,0.8126,0.3847,0.7562,0.3403
LAMTOR4,0.0694,0.3934,0.7152,0.6629,0.4275,0.2279,0.24,0.4915,0.5855,0.9242
C7orf43,0.4459,0.9414,0.2479,0.9509,0.467,0.6748,0.511,0.4292,0.9858,0.4069
MIR4658,0.0224,0.9993,0.2879,0.4274,0.0973,0.5358,0.3018,0.4617,0.5713,0.8827
GAL3ST4,0.9302,0.5462,0.4018,0.9711,0.5589,0.3438,0.82,0.1076,0.1109,0.3136
GPC2,0.4881,0.2782,0.1027,0.657,0.9862,0.5004,0.8151,0.7323,0.5631,0.4418
STAG3,0.5284,0.2959,0.7196,0.1576,0.7179,0.4456,0.4817,0.2864,0.62,0.1643
CASTOR3,0.7256,0.2006,0.37,0.1436,0.0388,0.5918,0.0421,0.0998,0.7591,0.062
PVRIG,0.1924,0.5326,0.2656,0.7536,0.5573,0.8124,0.1834,0.7011,0.4009,0.2329
SPDYE3,0.4506,0.8521,0.1569,0.3831,0.6776,0.5896,0.9474,0.3499,0.6041,0.5836
PMS2P1,0.093,0.3377,0.3847,0.1845,0.5279,0.6931,0.0237,0.9367,0.0534,0.1542
STAG3L5P,0.5209,0.9947,0.3029,0.6723,0.5424,0.8239,0.8918,0.6845,0.7372,0.7091
PILRB,0.3536,0.6306,0.1926,0.5021,0.7231,0.7829,0.8525,0.722,0.8739,0.6953
PVRIG2P,0.0034,0.2562,0.0396,0.6482,0.1493,0.9216,0.0388,0.5767,0.555,0.2331
PILRA,0.2773,0.0531,0.2119,0.2953,0.2535,0.0441,0.9441,0.0139,0.1935,0.0385
ZCWPW1,0.0366,0.3177,0.9499,0.7426,0.3019,0.0574,0.0694,0.4247,0.5368,0.8229
MEPCE,0.5683,0.4337,0.8338,0.6726,0.3324,0.5245,0.4896,0.5672,0.7495,0.8416
AC092849.2,0.9853,0.7764,0.5518,0.7882,0.7855,0.5914,0.781,0.4467,0.5654,0.7526
PPP1R35,0.5967,0.8903,0.5265,0.9363,0.5995,0.9109,0.6047,0.5183,0.9382,0.5399
AC092849.1,0.4626,0.9262,0.501,0.9367,0.5313,0.9697,0.4481,0.5386,0.9911,0.4492
C7orf61,0.492,0.2301,0.8625,0.8167,0.6591,0.4707,0.6029,0.2141,0.1628,0.7672
TSC22D4,0.6856,0.6281,0.6339,0.9049,0.4247,0.9336,0.8431,0.4136,0.604,0.7689
NYAP1,0.4068,0.9992,0.4914,0.5032,0.6356,0.3981,0.3778,0.7095,0.6046,1.0
AGFG2,0.6489,0.8808,0.2391,0.661,0.5587,0.54,0.3972,0.3027,0.7293,0.2155
IRS3P,0.1611,0.4839,0.5342,0.0128,0.113,0.5565,0.252,0.3207,0.0838,0.1592
SAP25,0.8401,0.8304,0.5065,0.3248,0.7303,0.8048,0.4834,0.6938,0.3325,0.9711
LRCH4,0.7859,0.6167,0.4295,0.9107,0.457,0.6554,0.9246,0.3685,0.618,0.6275
FBXO24,0.154,0.1002,0.9149,0.1837,0.52,0.3551,1.0,0.2226,0.5387,0.3196
PCOLCE-AS1,0.5418,0.8581,0.2321,0.5356,0.7461,0.1474,0.2985,0.1891,0.3665,0.6088
PCOLCE,0.3204,0.2264,0.8253,0.7693,0.6483,0.27,0.2805,0.233,0.2423,0.947
MOSPD3,0.9496,0.4919,0.9396,0.8262,0.492,0.8806,0.8849,0.4061,0.6758,0.7721
TFR2,0.5166,0.8363,0.2401,0.499,0.4769,0.7081,0.2618,0.197,0.5155,0.112
GNB2,0.8749,0.4638,0.8118,0.9295,0.5581,0.7108,0.9704,0.4264,0.6034,0.8079
GIGYF1,0.2711,0.9753,0.2629,0.3354,0.3518,0.8393,0.8118,0.5342,0.362,0.8229
POP7,0.3778,0.6172,0.5748,0.947,0.3694,0.7749,0.4719,0.4618,0.7694,0.6555
EPO,0.3997,0.7435,0.9205,0.1408,0.731,0.6482,0.6668,0.8118,0.3084,0.3123
ZAN,0.7002,0.2083,0.223,0.9996,0.0692,0.0957,0.7815,1.0,0.6913,0.5431
EPHB4,0.0101,0.5197,0.3519,0.0131,0.1464,0.2117,0.7728,0.8204,0.1703,0.235
SLC12A9,0.4887,0.724,0.4753,0.6125,0.4039,0.966,0.908,0.3725,0.4771,0.8704
SLC12A9-AS1,0.3029,0.9802,0.1318,0.0663,0.8793,0.8922,0.4606,0.3668,0.3257,0.7592
TRIP6,0.4296,0.8407,0.5858,0.8877,0.4806,0.8511,0.4646,0.5912,0.9739,0.5768
SRRT,0.7872,0.7857,0.9247,0.4742,0.9854,0.8098,0.7556,0.8377,0.6746,0.6335
UFSP1,0.6828,0.9365,0.8422,0.9646,0.772,0.7573,0.7719,0.8386,0.9398,0.8078
ACHE,0.436,0.6069,0.2903,0.4931,0.7316,0.1187,0.8953,0.2874,0.8661,0.2095
MUC3A,0.6246,0.7016,0.7694,0.3654,0.9226,0.8165,0.6242,0.899,0.5495,0.4842
AC254629.1,0.2763,0.6814,0.4035,0.2311,0.9964,0.9932,0.9512,1.0,0.7233,0.8794
MUC12,0.1745,0.8976,0.2479,0.3088,0.12,0.017,0.086,0.3792,0.5033,0.9124
AC105446.1,0.2356,0.9028,0.5625,0.0224,0.3595,0.1208,0.5211,0.7715,0.0679,0.0031
MUC17,0.0705,0.9274,0.8569,0.0989,0.3766,0.2746,0.7509,1.0,0.5088,0.4275
TRIM56,0.5358,0.7203,0.2033,0.3452,0.818,0.2134,0.2321,0.2849,0.2983,0.6845
SERPINE1,0.1467,0.132,0.0245,0.3236,0.9956,0.9972,0.6068,0.8885,0.616,0.4295
AP1S1,0.9064,0.6408,0.4733,0.6695,0.6738,0.4666,0.8213,0.3313,0.935,0.3208
VGF,0.7734,0.4167,0.4873,0.6383,0.121,0.4593,0.7983,0.7289,0.3918,0.6392
NAT16,0.41,0.6799,0.2942,0.8389,0.2098,0.5175,0.5379,0.0818,0.5829,0.2506
MOGAT3,0.5719,0.227,0.2105,0.5116,1.0,0.7181,0.4259,0.0001,0.3554,0.0259
PLOD3,0.632,0.6758,0.3418,0.7594,0.3952,0.6465,0.4622,0.2795,0.9118,0.2796
ZNHIT1,0.5568,0.35,0.8604,0.6309,0.7111,0.5883,0.4614,0.4302,0.3633,0.8038
CLDN15,0.0924,0.9036,0.324,0.4933,0.1555,0.6951,0.4061,0.4937,0.5187,0.7372
FIS1,0.0723,0.1898,0.7353,0.3062,0.6219,0.3272,0.5509,0.5315,0.8322,0.6564
AC006329.2,0.0001,0.0001,0.0243,0.3322,0.0001,0.1697,0.2833,0.168,1.0,0.3872
AZGP1P2,0.3361,0.0001,0.0001,0.0113,1.0,0.7178,0.7267,0.0001,0.3321,0.4638
AC006329.1,0.0036,0.2727,0.2707,0.1568,0.1049,0.0067,0.0071,0.0238,0.0046,0.7443
IFT22,0.9905,0.6115,0.5577,0.2008,0.7472,0.6798,0.4051,0.47,0.5775,0.2336
