Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
MIB2,0.3147,0.9354,0.3642,0.6502,0.2855,0.9865,0.555,0.415,0.5216,0.6298
MMP23B,0.5793,0.501,0.8832,0.3011,1.0,0.8566,0.318,1.0,0.188,0.4276
CDK11B,0.3441,0.3293,0.7664,0.2533,0.9466,0.3379,0.8343,0.3166,0.8819,0.2631
FO704657.1,0.0072,0.2556,0.142,0.427,0.1308,0.3104,0.0759,0.6927,0.6958,0.4955
SLC35E2B,0.0074,0.2216,0.0332,0.7756,0.1869,0.6283,0.0602,0.3826,0.3847,0.1598
AL691432.1,0.0651,0.029,0.0014,0.0787,0.4722,0.1584,0.799,0.4907,0.3995,0.1155
MMP23A,0.63,0.7381,0.4282,0.8191,1.0,0.7317,0.7266,0.7069,0.7801,0.165
CDK11A,0.563,0.1388,0.3476,0.9278,0.3504,0.3413,0.5962,0.1565,0.2631,0.5699
AL031282.1,0.7718,0.528,0.0724,0.6598,0.7405,0.1729,0.9119,0.1434,0.8266,0.1269
SLC35E2A,0.7452,0.1345,0.0601,0.6519,0.2426,0.1423,0.9139,0.0561,0.3074,0.1263
NADK,0.548,0.5641,0.4064,0.7619,0.2648,0.8203,0.468,0.2451,0.809,0.3617
GNB1,0.2776,0.8015,0.2005,0.2679,0.2157,0.7898,0.077,0.1809,0.319,0.064
AL109917.1,0.85,0.4126,0.6538,0.694,0.5317,0.8808,0.697,0.4269,0.7134,0.4714
CALML6,0.0289,0.2202,0.5155,0.9233,0.3829,0.4608,0.1115,0.866,0.3719,0.6336
TMEM52,0.6717,0.5411,0.9917,0.9441,0.4819,0.8542,0.6667,0.7307,0.6191,0.9228
AL391845.2,0.7754,0.9491,0.7223,0.2674,1.0,0.7229,0.7255,0.0001,0.3561,0.2307
GABRD,0.3317,0.0001,0.0001,0.0467,1.0,0.7116,0.9874,0.0001,0.3196,0.2206
PRKCZ,0.9458,0.4034,0.4609,0.6931,0.4011,0.4555,0.7409,0.7857,0.1453,0.1647
AL590822.2,0.724,0.6669,0.0975,0.1036,0.1895,0.3581,0.4906,0.0157,0.1652,0.906
PRKCZ-AS1,0.0078,0.9765,0.9726,0.0262,0.0801,0.0622,0.4869,1.0,0.1558,0.1129
FAAP20,0.8133,0.66,0.6624,0.6565,0.5669,0.8303,0.8262,0.469,0.4305,0.9728
SKI,0.0427,0.6795,0.296,0.9482,0.0904,0.5252,0.0914,0.3121,0.7132,0.4134
MORN1,0.187,0.9783,0.5867,0.9148,0.1601,0.5216,0.1815,0.6975,0.826,0.656
AL513477.1,0.3211,0.6131,0.8179,0.7933,0.123,0.2187,0.5244,0.6543,0.3018,0.5297
AL513477.2,0.8271,0.4675,0.5628,0.6353,0.0898,0.1642,0.266,0.6692,0.5958,0.8932
RER1,0.6651,0.4467,0.4896,0.5698,0.2901,0.8474,0.4298,0.2878,0.8932,0.3658
PEX10,0.352,0.6039,0.4555,0.7716,0.2074,0.8407,0.5512,0.2738,0.4231,0.6785
PLCH2,0.0367,0.5182,0.3646,0.149,0.057,0.3662,0.756,0.2408,0.2209,0.5975
PANK4,0.3906,0.8952,0.2114,0.5265,0.4886,0.714,0.299,0.3721,0.6523,0.2086
HES5,0.741,0.5835,0.955,0.8075,0.471,0.2856,0.8495,0.2069,0.803,0.3227
AL139246.5,0.8481,0.6699,0.7295,0.9889,0.4589,0.5234,0.8161,0.3207,0.5265,0.7386
TNFRSF14-AS1,0.3442,0.7153,0.0641,0.9811,0.5853,0.5388,0.3324,0.3888,0.6838,0.1689
TNFRSF14,0.7531,0.4548,0.5038,0.8336,0.423,0.4832,0.8887,0.276,0.381,0.4903
AL139246.2,0.3735,0.3978,0.1154,0.6145,0.9465,0.6705,0.8774,0.8212,0.8345,0.5425
AL139246.3,0.3916,0.2932,0.2255,0.9437,0.8084,0.1349,0.3703,0.1282,0.1912,0.2838
PRXL2B,0.8861,0.7179,0.4283,0.4453,0.8002,0.5152,0.4987,0.4507,0.6477,0.203
MMEL1,0.8274,0.6184,0.9089,0.5834,0.6636,0.7717,0.7216,0.6174,0.9926,0.5358
AL831784.1,0.4136,0.5285,0.2583,0.2992,0.9979,0.7651,0.9689,0.7629,0.9916,0.7218
TTC34,0.3049,0.7956,0.0817,0.3877,0.5463,0.5671,0.8637,0.3979,0.6263,0.5158
AC242022.2,0.6768,0.5519,0.5273,0.6714,0.4657,0.2378,0.6535,0.0001,1.0,0.0711
