Name,Description,GSM1312748.Yakut.rnaseqccounts,GSM1312745.Yakut.rnaseqccounts,GSM1312749.Yakut.rnaseqccounts,GSM1312744.Yakut.rnaseqccounts,GSM1312747.Yakut.rnaseqccounts,GSM1312746.Yakut.rnaseqccounts
ENSG00000215262.8,KCNU1,0,0,0,0,0,0
ENSG00000274489.1,AC124076.1,0,0,0,0,0,0
ENSG00000219491.6,TPT1P8,0,0,0,0,0,0
ENSG00000243503.2,AC090453.1,0,0,0,0,0,0
ENSG00000254038.1,AC092818.1,0,0,0,0,0,0
ENSG00000253650.1,SMARCE1P4,0,0,0,0,0,0
ENSG00000253123.3,AC091182.1,0,0,0,0,0,0
ENSG00000253746.1,AC091182.2,0,2,0,0,0,0
ENSG00000253161.5,LINC01605,0,4,0,2,0,0
ENSG00000253388.1,AC124067.1,0,0,0,0,0,0
ENSG00000253414.2,AC124067.2,0,0,0,0,0,0
ENSG00000254111.2,AC124067.3,0,0,0,0,0,0
ENSG00000254290.1,AC124067.4,0,0,0,0,0,0
ENSG00000254306.1,AC137579.2,0,0,0,0,0,0
ENSG00000253344.1,AC137579.1,0,0,0,0,0,0
ENSG00000223215.1,RNU6-607P,0,0,0,0,0,0
ENSG00000183779.7,ZNF703,0,2,0,2,2,4
ENSG00000253181.1,AC138356.3,0,0,0,0,0,0
ENSG00000183154.1,AC138356.1,2,4,4,6,6,4
ENSG00000147475.15,ERLIN2,338,363,191,341,455,321
ENSG00000233170.4,AC138356.2,3,3,0,12,0,4
ENSG00000147471.12,PLPBP,664,467,564,473,1076,526
ENSG00000020181.17,ADGRA2,101,92,90,111,155,102
ENSG00000104221.12,BRF2,115,152,114,172,197,114
ENSG00000156675.15,RAB11FIP1,745,426,854,453,1160,689
ENSG00000280064.1,AC130304.1,548,129,572,215,765,502
ENSG00000241032.3,RN7SL709P,0,0,0,0,0,0
ENSG00000169154.7,GOT1L1,0,0,0,0,0,0
ENSG00000188778.6,ADRB3,0,0,0,0,0,0
ENSG00000270865.1,RPL12P48,0,0,0,0,0,0
ENSG00000187840.5,EIF4EBP1,262,387,323,173,842,319
ENSG00000260949.1,AP006545.1,2,3,0,1,8,0
ENSG00000272128.1,AP006545.2,0,0,1,0,2,0
